Athlete,overall_rank,overall_score,X14_1_rank,X14_1_score,X14_2_rank,X14_2_score,X14_3_rank,X14_3_score,X14_4_rank,X14_4_score,X14_5_rank,X14_5_score,region,gender
Heather Welsh,20,222,60,350,62,183,7,175,7,197,86,11:43,centraleast,f
Katelyn Haynes,21,223,35,356,90,171,70,152,19,193,9,09:58,centraleast,f
Lauren Hmiel,21,223,42,353,65,182,21,159,31,192,64,11:28,centraleast,f
Jenny Borda,23,224,42,353,13,246,85,150,63,187,21,10:47,centraleast,f
Melissa Doss,24,227,41,354,11,250,134,146,17,194,24,10:53,centraleast,f
Mary Cargill,25,229,23,360,56,187,128,147,9,196,13,10:24,centraleast,f
Jennifer Osborn,26,236,60,350,46,193,5,179,5,198,120,12:10,centraleast,f
Annie Wehry,27,240,33,357,36,195,69,152,60,187,42,11:13,centraleast,f
Meghan Hicks,28,258,16,379,67,181,62,153,43,190,70,11:36,centraleast,f
Merrill Mullis,29,275,60,350,74,177,12,167,41,190,88,11:48,centraleast,f
Lisa Shiu,29,275,42,353,33,196,59,154,23,193,118,12:08,centraleast,f
Sara Blunck,29,275,87,345,27,199,40,156,61,187,60,11:25,centraleast,f
Lynn Potter,32,286,30,359,46,193,36,156,99,184,75,11:39,centraleast,f
Kelsey Miller,33,307,57,351,62,183,86,150,33,192,69,11:32,centraleast,f
Jennifer Nobis-Dancer,34,309,50,352,30,197,11,173,34,192,184,12:45,centraleast,f
Allie Sholley,35,320,37,355,33,196,131,146,79,185,40,11:12,centraleast,f
Stephanie Lynn,36,321,6,394,28,198,181,143,70,187,36,11:10,centraleast,f
Crissy Cannon,36,321,77,347,7,263,188,143,24,193,25,10:56,centraleast,f
Casey Strope,38,323,57,351,56,187,53,154,80,185,77,11:40,centraleast,f
Kacie Wagner,39,327,10,391,76,176,127,147,58,188,56,11:23,centraleast,f
Brittany Kopp,40,336,11,390,19,239,253,141,14,195,39,11:11,centraleast,f
Chelsea Rankin,41,341,42,353,108,141,32,157,110,183,49,11:19,centraleast,f
Jessie Heikenfeld,42,344,103,335,36,195,76,151,69,187,60,11:25,centraleast,f
Laura Barito,43,363,33,357,87,172,14,165,25,193,204,12:56,centraleast,f
Kristen Christman,44,370,100,341,155,136,19,160,52,188,44,11:15,centraleast,f
Holly Dundon,45,397,37,355,67,181,99,149,92,184,102,11:55,centraleast,f
Jolene Grant,46,402,147,317,18,240,196,142,26,193,15,10:30,centraleast,f
Julie Hamilton,47,407,142,320,36,195,61,153,145,182,23,10:52,centraleast,f
Suzie Pettey,48,408,87,345,49,192,177,144,32,192,63,11:27,centraleast,f
Ashley Schwamberger,48,408,131,325,128,138,46,155,55,188,48,11:16,centraleast,f
Anna Rode,50,409,42,353,3,268,357,137,3,199,4,09:24,centraleast,f
Megan McAuley,51,420,127,326,56,187,66,153,27,192,144,12:23,centraleast,f
Emily Deet,52,436,14,385,142,137,28,158,233,180,19,10:46,centraleast,f
Trisha Cherveny,52,436,23,360,95,143,87,150,187,181,44,11:15,centraleast,f
Semma Burba,54,446,198,311,108,141,38,156,73,186,29,11:03,centraleast,f
Alexis Creekmur,55,483,102,336,87,172,51,155,68,187,175,12:42,centraleast,f
Marcella Morrill,56,487,191,312,99,142,136,146,51,189,10,10:02,centraleast,f
Jamie Medley,57,489,4,395,99,142,120,147,237,180,29,11:03,centraleast,f
Katie Szefcyk,58,492,87,345,99,142,92,150,137,182,77,11:40,centraleast,f
Emily Griffith,59,494,23,360,41,194,263,140,53,188,114,12:05,centraleast,f
Khristin Allen,60,496,80,346,99,142,47,155,50,189,220,13:03,centraleast,f
Samantha Briggs,1,9,1,472,5,274,1,187,1,256,1,08:31,europe,f
Martina Barbaro,2,28,3,415,7,261,2,181,7,197,9,10:05,europe,f
Annie Thorisdottir,3,53,4,407,3,276,3,176,3,198,40,11:05,europe,f
Kristin Holte,4,56,8,399,8,259,25,155,13,195,2,08:52,europe,f
Emma Rosengren,5,74,9,397,3,276,16,158,14,194,32,10:56,europe,f
Ragnheiður Sara Sigmundsdottir,6,82,5,405,16,204,41,152,4,198,16,10:30,europe,f
Bjork Odinsdottir,7,85,17,378,9,257,18,158,11,196,30,10:53,europe,f
Oksana Pikmulova,8,95,2,427,20,200,24,155,29,190,20,10:37,europe,f
Thuridur Erla Helgadottir,9,100,23,371,2,320,61,149,2,200,12,10:21,europe,f
Katrin Tanja Davidsdottir,10,104,6,403,1,321,88,146,6,197,3,09:48,europe,f
Hjördís Óskarsdóttir,11,117,71,349,6,264,15,158,5,198,20,10:37,europe,f
Nicola Simpson,12,125,25,369,34,192,4,176,9,196,53,11:19,europe,f
Caroline Fryklund,13,160,40,356,11,247,9,164,8,196,92,11:53,europe,f
Jenny Jacobsen,13,160,11,392,30,194,36,153,31,190,52,11:17,europe,f
Oxana Slivenko,15,161,38,357,14,207,47,151,23,192,39,11:03,europe,f
Laura Faulkner,16,167,16,381,18,203,73,148,16,194,44,11:09,europe,f
Camilla Salomonsson Hellman,17,182,65,350,64,142,21,157,21,192,11,10:10,europe,f
Emelie Smiding,18,185,65,350,20,200,28,155,10,196,62,11:29,europe,f
Nuša Repovž,19,190,56,352,25,195,26,155,33,189,50,11:15,europe,f
Gina Yates,20,192,32,359,10,254,103,145,37,189,10,10:08,europe,f
Becky Pykett,21,205,50,353,30,194,5,171,48,187,72,11:37,europe,f
Oddrun Eik Gylfadottir,21,205,22,374,43,186,52,150,64,185,24,10:41,europe,f
Marianna Tzourtzek,23,224,88,346,16,204,30,154,36,189,54,11:20,europe,f
Linnéa Fransson,24,226,88,346,77,139,37,152,17,193,7,10:01,europe,f
Patricia Strenius,25,227,34,358,72,140,11,162,32,190,78,11:45,europe,f
Rachel Watling,26,236,15,384,48,183,51,150,44,188,78,11:45,europe,f
Helena Falk,27,245,42,355,25,195,78,147,35,189,65,11:31,europe,f
Sanne Rooijmans,28,251,95,345,19,202,28,155,26,191,83,11:46,europe,f
Steph Dekker,29,261,88,346,25,195,70,149,30,190,48,11:13,europe,f
Heidi Horelli,30,264,149,315,43,186,6,167,47,187,19,10:36,europe,f
Hilary Riordan,31,276,24,370,42,188,119,144,17,193,74,11:38,europe,f
Sónia Alves,32,314,10,393,23,198,115,144,125,182,41,11:06,europe,f
Andrea Berggren,33,317,56,352,104,135,27,155,83,184,47,11:12,europe,f
Eva Cortiella,34,319,149,315,58,143,71,148,27,191,14,10:24,europe,f
Karin Dike,35,338,12,390,23,198,62,149,223,180,18,10:33,europe,f
Emilia Leppänen,36,340,34,358,34,192,101,145,99,183,72,11:37,europe,f
Anna Hulda Olafsdottir,37,350,95,345,53,178,99,145,46,187,57,11:23,europe,f
Saara Laaksonen,38,355,113,335,15,205,143,143,24,191,60,11:28,europe,f
Sara Ellegaard Andreasen,39,366,65,350,34,192,65,149,167,181,35,11:00,europe,f
Sara Armanius,40,384,62,351,171,130,34,154,85,184,32,10:56,europe,f
Megan Lovegrove,41,390,106,341,25,195,174,141,34,189,51,11:16,europe,f
Carmen Bosmans,42,393,71,349,12,239,266,138,20,192,24,10:41,europe,f
Louise Tjäder,42,393,48,354,43,186,182,141,54,186,66,11:32,europe,f
Marina Novelli,44,394,27,362,25,195,10,163,224,180,108,12:07,europe,f
Ann-Katrin Weber,45,397,85,347,115,134,7,167,97,183,93,11:54,europe,f
mia iden Hellesen,46,407,202,311,64,142,95,145,40,188,6,09:58,europe,f
Minelle Bachau Jensen,47,410,65,350,92,137,76,148,78,184,99,12:02,europe,f
Kelly Friel,48,414,34,358,82,138,116,144,156,181,26,10:46,europe,f
Rebecca Gould,49,421,20,376,57,174,231,139,55,186,58,11:26,europe,f
Sari Rautiala,50,435,56,352,92,137,56,150,96,183,135,12:24,europe,f
Ingunn Ludviksdottir,51,442,79,348,50,182,217,140,41,188,55,11:21,europe,f
Chloe Williams,52,448,32,359,82,138,86,146,124,182,124,12:13,europe,f
Beth Hoggarth,53,450,106,341,82,138,31,154,75,184,156,12:32,europe,f
Angelica Bengtsson,54,462,56,352,58,143,226,139,100,183,22,10:40,europe,f
Mikaela Norman,55,471,7,400,171,130,67,149,218,180,8,10:03,europe,f
Elise Labrunie,56,478,202,311,72,140,81,147,38,189,85,11:48,europe,f
matilde orlandoni,57,479,42,355,39,190,150,142,63,186,185,12:48,europe,f
Gwendolin Sona,58,502,398,299,32,193,23,156,15,194,34,10:58,europe,f
Sarah Krarup,59,507,29,361,128,133,157,142,129,182,64,11:30,europe,f
Hrund Scheving,60,512,181,313,77,139,69,149,69,185,116,12:10,europe,f
Wanda Brenton,1,15,7,350,1,205,3,155,1,191,3,10:51,latinamerica,f
Anita Pravatti,2,28,7,350,5,186,5,150,2,189,9,11:46,latinamerica,f
Antonelli Nicole,3,63,4,352,7,182,25,142,25,182,2,10:49,latinamerica,f
joyce sanches,4,76,21,312,18,138,28,141,8,185,1,10:47,latinamerica,f
Priscila Caceres,5,81,13,340,12,143,8,149,44,180,4,11:01,latinamerica,f
Marina Ramos Jorge,6,82,17,315,10,172,11,146,14,183,30,13:10,latinamerica,f
Solange Jean-Francois Mon,7,89,9,346,22,136,41,139,11,184,6,11:34,latinamerica,f
Marylin Rojas,8,96,21,312,9,176,50,137,4,186,12,12:01,latinamerica,f
Sandra Kolam,8,96,14,337,47,129,4,153,9,185,22,12:27,latinamerica,f
Brenda Castro,10,106,5,351,2,202,49,137,19,182,31,13:11,latinamerica,f
Itzel Cadena,11,111,5,351,54,125,2,156,3,186,47,13:37,latinamerica,f
Viana Mollinedo,12,112,3,356,17,139,14,145,53,180,25,12:46,latinamerica,f
Linda Gonzalez,13,128,1,378,33,132,36,140,47,180,11,11:53,latinamerica,f
Ashley Puschman,14,154,41,303,15,141,21,143,21,182,56,13:43,latinamerica,f
Yazmin Arroyo Loaiza,15,155,35,305,11,170,52,137,6,186,51,13:41,latinamerica,f
Julieta Gangemi,16,156,24,309,40,130,27,142,28,181,37,13:27,latinamerica,f
Denisse Ortiz,17,160,33,306,54,125,9,148,51,180,13,12:14,latinamerica,f
Karime Ferrari,17,160,17,315,24,135,20,143,66,180,33,13:18,latinamerica,f
Debora Diegas,19,164,46,301,27,134,7,149,13,183,71,14:03,latinamerica,f
Daniele Bernardi,20,165,9,346,40,130,33,140,32,181,51,13:41,latinamerica,f
Cecilia Ramirez Villamil,21,167,20,314,29,133,12,146,20,182,86,14:22,latinamerica,f
Marcela Fernanda Rozo,22,182,33,306,77,116,55,136,4,186,13,12:14,latinamerica,f
Dominique Jocelyne,22,182,16,324,47,129,24,142,33,181,62,13:49,latinamerica,f
tamara muñoz,24,191,55,298,51,127,22,142,35,181,28,12:52,latinamerica,f
JIMENA NAVARRO,25,206,62,290,29,133,56,136,39,181,20,12:25,latinamerica,f
Pochy Valdes,26,209,23,310,33,132,23,142,96,180,34,13:20,latinamerica,f
Tatiana Rebane,27,211,96,270,14,142,57,136,18,182,26,12:47,latinamerica,f
Gabriela Barroso,28,218,15,327,69,120,70,134,22,182,42,13:31,latinamerica,f
Rafaela Ferreira,29,241,65,289,12,143,45,138,27,181,92,14:30,latinamerica,f
Vivian Aiello Bomfim,30,245,17,315,113,85,13,145,55,180,47,13:37,latinamerica,f
Maria Laura Meza Salas,31,254,41,303,24,135,61,135,90,180,38,13:29,latinamerica,f
Maya Byrd,32,258,92,274,59,124,37,139,49,180,21,12:26,latinamerica,f
Jaclyn Peace,33,260,41,303,59,124,17,145,52,180,91,14:25,latinamerica,f
Catherine Mora Arias,34,261,61,292,54,125,58,135,56,180,32,13:15,latinamerica,f
Anita Seccia,35,279,85,278,54,125,19,144,38,181,83,14:20,latinamerica,f
Alejandra Lee,36,299,2,358,18,138,38,139,86,180,155,15:41,latinamerica,f
Sofia Bermeo,37,317,46,301,77,116,71,134,77,180,46,13:36,latinamerica,f
Christine Knieff,38,326,59,293,29,133,42,139,10,185,186,16:08,latinamerica,f
Faba Macias,39,345,27,308,150,82,86,132,74,180,8,11:43,latinamerica,f
Miriam Viera,39,345,37,304,103,86,68,134,84,180,53,13:42,latinamerica,f
Shio Ruiz,39,345,69,288,96,108,74,134,57,180,49,13:40,latinamerica,f
Sabrina Scafati,42,347,110,269,54,125,10,147,95,180,78,14:14,latinamerica,f
Nega Ibarra,43,357,129,265,59,124,79,133,30,181,60,13:46,latinamerica,f
Carolinne Alencar,44,360,48,300,97,106,31,141,105,180,79,14:15,latinamerica,f
Jane Evans,45,374,183,258,77,116,53,137,37,181,24,12:41,latinamerica,f
Jessica Murphy,46,381,95,272,89,113,35,140,29,181,133,15:26,latinamerica,f
Esther Velazco,47,384,76,283,37,131,134,130,110,180,27,12:50,latinamerica,f
Pau De Prado,48,390,30,307,33,132,166,125,40,181,121,15:19,latinamerica,f
Samantha Viana,49,410,129,265,18,138,46,138,75,180,142,15:30,latinamerica,f
Evelin Flores,50,418,55,298,40,130,191,118,103,180,29,13:09,latinamerica,f
Silvia Paiz,51,423,57,295,113,85,101,131,50,180,102,14:45,latinamerica,f
Vanessa Benavides,52,429,141,263,8,181,227,114,36,181,17,12:21,latinamerica,f
Susana Manco,53,445,57,295,27,134,225,114,123,179,13,12:14,latinamerica,f
Anna Hathaway,54,453,96,270,53,126,163,125,84,180,57,13:44,latinamerica,f
edith cabezas,55,463,110,269,127,84,107,130,100,180,19,12:24,latinamerica,f
Eliana Jimenez,56,476,59,293,98,87,159,126,117,180,43,13:34,latinamerica,f
Laura Molina,57,477,163,260,40,130,59,135,90,180,125,15:22,latinamerica,f
karem viloria,58,483,76,283,127,84,91,132,90,180,99,14:41,latinamerica,f
Danielle Nogueira,59,487,96,270,40,130,183,119,7,186,161,15:50,latinamerica,f
Ignacia Larraín,60,493,30,307,219,77,95,131,111,180,38,13:29,latinamerica,f
Alea Helmick,1,16,2,398,4,265,2,181,5,194,3,09:30,midatlantic,f
Anna Tunnicliffe,2,26,1,431,1,276,7,175,16,192,1,09:13,midatlantic,f
Christy Adkins,3,28,4,394,6,260,10,174,1,200,7,10:01,midatlantic,f
Emily Friedman,3,28,15,360,3,267,6,175,2,199,2,09:16,midatlantic,f
Michelle Crawford,5,59,35,354,13,206,1,186,6,194,4,09:41,midatlantic,f
Rachel Doucet,6,101,3,396,7,259,70,152,11,193,10,10:10,midatlantic,f
Marcie Wells,7,102,24,359,35,197,8,175,18,192,17,10:35,midatlantic,f
Jen Rocawich,8,152,5,393,10,243,47,154,28,191,62,11:27,midatlantic,f
Amy Bright,9,153,14,361,2,268,29,160,41,188,67,11:31,midatlantic,f
Teresa Luz,10,158,74,348,15,205,14,172,42,188,13,10:12,midatlantic,f
whitney gelin,11,202,90,345,18,203,69,152,20,192,5,09:46,midatlantic,f
Gretchen Kittelberger,11,202,54,351,15,205,95,150,9,194,29,10:58,midatlantic,f
Dara Ching,13,204,28,357,5,263,101,149,51,188,19,10:39,midatlantic,f
Kimberly Johnson,14,208,6,390,86,183,54,153,48,188,14,10:27,midatlantic,f
Lisa Mealey,15,209,6,390,35,197,90,150,33,190,45,11:12,midatlantic,f
Emily Breeze Ross,16,221,39,353,47,195,99,149,30,190,6,09:50,midatlantic,f
Erin Ferner,17,223,15,360,81,184,43,155,56,187,28,10:55,midatlantic,f
Megan Gilbert,18,227,61,350,41,196,27,160,27,191,71,11:32,midatlantic,f
Pamela Gagnon,19,230,61,350,8,256,93,150,3,195,65,11:30,midatlantic,f
Sara Wood,20,235,74,348,21,201,17,169,111,184,12,10:11,midatlantic,f
Nicky Crais,20,235,43,352,41,196,39,156,58,187,54,11:24,midatlantic,f
Alicia McKenzie,22,246,15,360,12,238,11,172,15,192,193,12:31,midatlantic,f
Jennifer Butler,23,248,90,345,9,244,46,154,72,186,31,10:59,midatlantic,f
Katie Levy,24,249,74,348,55,193,4,175,19,192,97,11:44,midatlantic,f
Chassity Martin,25,268,15,360,110,175,86,150,26,191,31,10:59,midatlantic,f
Bethany Lauster,26,274,66,349,21,201,136,147,22,191,29,10:58,midatlantic,f
Shanna Duvall,27,296,43,352,41,196,63,153,14,193,135,12:07,midatlantic,f
Darian Sperry,28,305,15,360,58,192,143,147,46,188,43,11:10,midatlantic,f
Kari Cezat,29,307,163,319,11,240,24,164,50,188,59,11:26,midatlantic,f
Linsey Wise,30,315,54,351,73,187,151,146,12,193,25,10:51,midatlantic,f
Kate Miller,31,317,13,366,168,139,40,156,59,187,37,11:07,midatlantic,f
Sarah Dunsmore,32,318,61,350,58,192,91,150,63,187,45,11:12,midatlantic,f
Brittney Kortz,33,321,28,357,21,201,213,143,37,189,22,10:46,midatlantic,f
Stephanie Brennan,34,322,126,332,81,184,34,158,31,190,50,11:19,midatlantic,f
Cameron Williams,35,328,11,372,65,190,85,151,35,190,132,12:04,midatlantic,f
Quinn Megargel,36,332,80,347,80,185,41,156,38,189,93,11:41,midatlantic,f
Jennifer Navarro,37,336,15,360,95,179,45,154,117,184,64,11:29,midatlantic,f
Loren Churchin-Lang,38,338,43,352,81,184,109,149,43,188,62,11:27,midatlantic,f
Ashleigh Woods,39,349,43,352,35,197,183,145,17,192,71,11:32,midatlantic,f
Alexis Takas,40,359,43,352,124,143,67,152,115,184,10,10:10,midatlantic,f
Danielle Dionne,41,362,159,320,41,196,83,151,8,194,71,11:32,midatlantic,f
Nicole Capurso,42,363,25,358,95,179,21,167,44,188,178,12:26,midatlantic,f
Corinna Benz,43,382,198,314,17,204,119,148,10,194,38,11:08,midatlantic,f
Tracy Shuford,44,385,80,347,185,138,16,170,23,191,81,11:37,midatlantic,f
Gaylemarie Kolb,45,394,163,319,73,187,25,162,25,191,108,11:51,midatlantic,f
Corrine Check,46,398,39,353,185,138,3,175,70,186,101,11:46,midatlantic,f
Kimberly Klopp,47,415,141,328,69,189,114,148,24,191,67,11:31,midatlantic,f
Kate Garufi,48,424,108,340,28,199,35,158,60,187,193,12:31,midatlantic,f
Kimberly Norton,49,431,32,356,132,142,32,158,197,182,38,11:08,midatlantic,f
Kim Holway,50,434,15,360,100,177,37,157,201,182,81,11:37,midatlantic,f
Darcy Thompson,51,436,10,376,168,139,129,147,21,191,108,11:51,midatlantic,f
Emily Record,52,442,66,349,154,140,26,161,54,187,142,12:11,midatlantic,f
Keeli Michael,53,446,172,316,35,197,134,147,61,187,44,11:11,midatlantic,f
Jamie Chrispen,54,460,100,344,100,177,65,152,110,184,85,11:39,midatlantic,f
Elizabeth Lillie,55,468,134,330,132,142,23,166,90,185,89,11:40,midatlantic,f
Kim Cocce,56,475,172,316,31,198,31,160,130,184,111,11:54,midatlantic,f
Christa Giordano,57,483,35,354,28,199,130,147,13,193,277,12:55,midatlantic,f
Kaja Baum,58,497,80,347,77,186,78,151,87,185,175,12:25,midatlantic,f
Katie Wasalaski,59,503,25,358,143,141,28,160,69,186,238,12:45,midatlantic,f
Drew Hanna,60,504,172,316,86,183,105,149,52,188,89,11:40,midatlantic,f
Kelley Jackson,1,28,1,415,1,353,21,158,4,196,1,08:57,northcentral,f
Stacie Tovar,1,28,5,395,3,267,17,159,1,198,2,09:11,northcentral,f
Kristin Miller,3,49,2,400,5,263,19,159,8,194,15,10:24,northcentral,f
Jessica Schulz,4,61,6,394,3,267,12,168,3,197,37,10:57,northcentral,f
Elisabeth Akinwale,5,79,36,356,7,261,1,191,13,193,22,10:38,northcentral,f
Kristin King,6,89,18,374,23,204,2,179,43,188,3,09:33,northcentral,f
Becca Clarin,7,94,14,385,46,197,18,159,12,193,4,09:38,northcentral,f
kara paslay,8,113,9,391,33,200,45,153,21,191,5,09:44,northcentral,f
Brooke Wells,9,127,7,393,33,200,4,175,50,187,33,10:53,northcentral,f
Grace Dresher,10,145,82,347,12,253,27,157,7,194,17,10:33,northcentral,f
Alexandra LaChance,11,166,7,393,8,260,39,155,2,198,110,12:04,northcentral,f
Mallory Lawson,12,169,13,387,27,203,34,155,47,188,48,11:12,northcentral,f
Ashley Van Boxtel,13,171,76,348,9,256,58,152,18,192,10,10:05,northcentral,f
Andrea Nisler,14,181,95,345,23,204,15,163,35,189,13,10:17,northcentral,f
Melissa Dinsmore,15,183,82,347,20,206,10,169,51,187,20,10:37,northcentral,f
Madison Freeman,16,189,22,360,2,269,119,147,29,190,17,10:33,northcentral,f
Ashley Carlson,17,194,20,368,85,183,43,154,6,195,40,11:03,northcentral,f
Megan John,18,213,36,356,31,201,53,152,85,185,8,09:56,northcentral,f
Christina Merlo,19,223,55,352,18,207,98,149,10,194,42,11:04,northcentral,f
Laura Murphy,20,254,36,356,13,250,157,145,36,189,12,10:14,northcentral,f
Tristan Erlenbaugh,20,254,62,351,17,239,81,150,33,189,61,11:31,northcentral,f
JB Newell,22,259,42,355,120,143,8,171,65,186,24,10:39,northcentral,f
Michele Weissenhofer,23,263,30,358,46,197,11,168,42,189,134,12:14,northcentral,f
Sarah Grant,24,264,30,358,6,262,136,146,83,185,9,09:58,northcentral,f
Jaime Noyce,25,268,30,358,99,177,20,159,28,190,91,11:53,northcentral,f
M'Kelle Tomberlin,26,271,74,349,38,199,16,160,30,190,113,12:06,northcentral,f
Emily Yates,27,286,4,398,38,199,164,144,69,186,11,10:11,northcentral,f
Emma Moburg-Jones,28,289,55,352,75,188,31,156,74,186,54,11:20,northcentral,f
Britt Ringstrom,29,303,76,348,127,142,13,165,26,190,61,11:31,northcentral,f
Katie Schmitz,30,311,95,345,27,203,102,149,5,195,82,11:45,northcentral,f
Sonia Rodriguez,31,313,9,391,110,173,42,154,59,187,93,11:55,northcentral,f
Charity Dye,32,319,18,374,13,250,155,145,40,189,93,11:55,northcentral,f
Lisa Rolfe,33,337,16,384,105,175,41,154,120,184,55,11:21,northcentral,f
kinsy rosati,34,339,22,360,105,175,57,152,97,185,58,11:27,northcentral,f
Brook Moberly,35,345,51,353,54,195,107,148,107,185,26,10:44,northcentral,f
Kelly Nicolas,36,347,55,352,101,176,114,148,52,187,25,10:41,northcentral,f
Jessica Farrell,37,360,152,322,20,206,91,149,68,186,29,10:46,northcentral,f
Tracy Alberty,38,362,74,349,108,174,85,150,11,194,84,11:48,northcentral,f
Bridget Ahlfield,39,365,127,334,58,194,25,158,72,186,83,11:47,northcentral,f
Mekenzie Riley,40,372,42,355,18,207,290,140,16,192,6,09:49,northcentral,f
Kady Sackett,41,375,89,346,38,199,142,146,49,188,57,11:26,northcentral,f
Shannon Duggan,42,383,119,338,44,198,97,149,39,189,84,11:48,northcentral,f
Megan Scales,43,396,9,391,127,142,83,150,57,187,120,12:09,northcentral,f
Christy Jeffery,44,409,17,381,158,139,117,148,81,186,36,10:56,northcentral,f
Lydia Novotny,45,410,216,313,54,195,99,149,25,190,16,10:27,northcentral,f
Katelyn Busacker,46,419,55,352,72,189,55,152,80,186,157,12:26,northcentral,f
Maria McIntyre,47,447,129,333,110,173,51,153,31,190,126,12:12,northcentral,f
Kristen Rosenau,48,449,163,317,51,196,140,146,23,191,72,11:40,northcentral,f
Janelle Ragusa,48,449,125,335,81,184,82,150,58,187,103,12:00,northcentral,f
Amy Cash,50,460,21,364,158,139,35,155,100,185,146,12:21,northcentral,f
Rachel Pirkl,51,463,62,351,92,181,127,147,142,183,40,11:03,northcentral,f
Megan MacLellan,52,475,9,391,81,184,212,142,70,186,103,12:00,northcentral,f
Kelsi Chowning,53,481,30,358,149,140,47,153,209,181,46,11:09,northcentral,f
Libby DiBiase,54,494,95,345,38,199,187,143,62,187,112,12:05,northcentral,f
Nicole Samida,55,496,62,351,149,140,32,155,153,183,100,11:58,northcentral,f
Tosha Pastorek,56,497,76,348,69,191,234,142,41,189,77,11:44,northcentral,f
Amanda Proehl,57,527,89,346,15,248,350,138,54,187,19,10:35,northcentral,f
Nina Arezina,58,531,42,355,89,182,163,144,85,185,152,12:23,northcentral,f
Katie Trombetta,59,535,305,307,54,195,14,164,142,183,20,10:37,northcentral,f
Mary Theobald,60,537,82,347,138,141,86,150,17,192,214,12:49,northcentral,f
Kaleena Ladeairous,1,20,3,416,3,272,3,180,4,196,7,09:52,northeast,f
Cheryl Nasso,2,33,6,399,5,265,14,171,6,195,2,09:33,northeast,f
Sarah Scholl,3,64,2,422,19,207,22,162,11,192,10,10:09,northeast,f
Dani Horan,4,80,32,359,4,270,17,166,2,198,25,10:43,northeast,f
Katelyn Schuh,5,90,6,399,46,195,8,175,12,192,18,10:25,northeast,f
Rachel Martinez,6,117,25,360,2,273,73,152,9,193,8,09:55,northeast,f
Angela Kamendulis,7,119,14,381,24,202,27,160,33,190,21,10:35,northeast,f
Erica Pollock,8,121,18,373,46,195,6,175,17,191,34,10:54,northeast,f
Stacey Kroon,9,129,60,351,1,274,48,155,8,194,12,10:14,northeast,f
Jenny Davis,10,157,9,393,10,255,70,153,29,190,39,11:00,northeast,f
Tiffany Szemplinski,11,187,90,346,43,196,10,175,14,192,30,10:51,northeast,f
Megin Oczkowski,12,209,81,347,17,238,51,154,31,190,29,10:48,northeast,f
Sheila Barden,13,210,50,354,7,260,145,147,7,195,1,08:46,northeast,f
christina morris,14,222,11,390,26,201,46,155,74,187,65,11:20,northeast,f
Lauren Conner,15,227,43,355,73,187,43,156,62,187,6,09:50,northeast,f
Rachel Goldenberg,16,233,43,355,14,244,45,155,1,200,130,11:53,northeast,f
Michelle Kercado,17,242,149,332,8,257,23,161,30,190,32,10:53,northeast,f
Sara Hill Mass,18,243,36,358,18,236,142,148,3,197,44,11:03,northeast,f
Tracy O'Donnell,18,243,25,360,43,196,59,153,100,185,16,10:22,northeast,f
Elizabeth Adams,20,260,25,360,132,142,1,183,65,187,37,10:59,northeast,f
Lauren Plumey,21,261,23,369,21,204,11,174,16,192,190,12:23,northeast,f
Emmy Simpkins,22,278,140,334,31,200,75,152,13,192,19,10:32,northeast,f
Molly Abgarian,23,288,43,355,11,252,206,144,5,196,23,10:41,northeast,f
Christie Choma,24,299,25,360,61,192,139,148,70,187,4,09:42,northeast,f
Kelly Munroe,25,300,12,384,61,192,19,162,193,182,15,10:19,northeast,f
kylee claxton,26,304,90,346,42,197,60,153,28,190,84,11:31,northeast,f
Lizzy Smith,27,307,75,348,72,188,124,148,27,190,9,10:08,northeast,f
Keidy Toomey,28,316,15,378,26,201,210,144,37,189,28,10:47,northeast,f
Vanessa Whiting,29,317,42,356,46,195,114,149,63,187,52,11:13,northeast,f
Kristen Kane,30,320,90,346,33,199,90,151,24,191,83,11:30,northeast,f
Elizabeth Warren,31,325,38,357,26,201,93,150,35,189,133,11:56,northeast,f
Carla Bezold,32,326,24,362,149,140,55,154,49,188,49,11:09,northeast,f
Jennifer Hunter-Marshall,33,349,43,355,31,200,111,150,61,188,103,11:42,northeast,f
Michelle Fountain,34,358,18,373,37,198,191,145,19,191,93,11:35,northeast,f
Allyson Bushey,35,376,188,317,37,198,99,150,20,191,32,10:53,northeast,f
Keri Ann Koegel,35,376,153,330,24,202,69,153,75,187,55,11:14,northeast,f
Maria Vulcano,37,395,22,372,54,194,137,148,136,184,46,11:08,northeast,f
Kristine Best,38,398,38,357,149,140,16,166,192,182,3,09:41,northeast,f
Lisa Mikkelsen,39,404,32,359,99,176,21,162,86,186,166,12:10,northeast,f
Elizabeth Rogers,40,409,138,335,15,242,192,145,23,191,41,11:01,northeast,f
Jennifer Lesniak,41,419,69,349,175,138,50,154,38,189,87,11:33,northeast,f
Jessa Lemoine,42,430,126,340,13,248,49,154,47,188,195,12:24,northeast,f
Kelly Steadman,43,433,81,347,73,187,38,157,57,188,184,12:20,northeast,f
Kassandra Aveni,44,437,90,346,94,180,150,147,67,187,36,10:58,northeast,f
Alicia Gomes,45,446,275,310,6,261,117,149,25,191,23,10:41,northeast,f
Karianne Dickson,45,446,131,338,20,206,170,146,36,189,89,11:34,northeast,f
Ayn Toppin,47,447,25,360,99,176,54,154,142,184,127,11:52,northeast,f
Alice Efland,48,448,69,349,12,249,98,150,124,185,145,12:02,northeast,f
